Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3
0,-0.06301108232424979,-0.0990624594590157,-0.11740143317352114,-0.11971903887770818
1,-0.09434078538786372,-0.09434078538786372,-0.09434078538786372,-0.09434078538786372
2,-0.09492492852877432,-0.09492492852877432,-0.09492492852877432,-0.09492492852877432
3,-0.09550899077029273,-0.09550899077029273,-0.09550899077029273,-0.09550899077029273
4,-0.09609294618667452,-0.09609294618667452,-0.09609294618667452,-0.09609294618667452
5,-0.09667676885852106,-0.09667676885852106,-0.09667676885852106,-0.09667676885852106
6,-0.097260432874409,-0.097260432874409,-0.097260432874409,-0.097260432874409
7,-0.09784391233252099,-0.09784391233252099,-0.09784391233252099,-0.09784391233252099
8,-0.0984271813422739,-0.0984271813422739,-0.0984271813422739,-0.0984271813422739
9,-0.09901021402594845,-0.09901021402594845,-0.09901021402594845,-0.09901021402594845
10,-0.09959298452031562,-0.09959298452031562,-0.09959298452031562,-0.09959298452031562
11,-0.10017546697826374,-0.10017546697826374,-0.10017546697826374,-0.10017546697826374
12,-0.10075763557042328,-0.10075763557042328,-0.10075763557042328,-0.10075763557042328
13,-0.10133946448679199,-0.10133946448679199,-0.10133946448679199,-0.10133946448679199
14,-0.10192092793835617,-0.10192092793835617,-0.10192092793835617,-0.10192092793835617
15,-0.10250200015871269,-0.10250200015871269,-0.10250200015871269,-0.10250200015871269
16,-0.10308265540568884,-0.10308265540568884,-0.10308265540568884,-0.10308265540568884
17,-0.10366286796295965,-0.10366286796295965,-0.10366286796295965,-0.10366286796295965
18,-0.10424261214166464,-0.10424261214166464,-0.10424261214166464,-0.10424261214166464
19,-0.1048218622820214,-0.1048218622820214,-0.1048218622820214,-0.1048218622820214
20,-0.1054005927549383,-0.1054005927549383,-0.1054005927549383,-0.1054005927549383
21,-0.10597877796362443,-0.10597877796362443,-0.10597877796362443,-0.10597877796362443
22,-0.10655639234519776,-0.10655639234519776,-0.10655639234519776,-0.10655639234519776
23,-0.10713341037228952,-0.10713341037228952,-0.10713341037228952,-0.10713341037228952
24,-0.10770980655464812,-0.10770980655464812,-0.10770980655464812,-0.10770980655464812
25,-0.1082855554407397,-0.1082855554407397,-0.1082855554407397,-0.1082855554407397
26,-0.1088606316193449,-0.1088606316193449,-0.1088606316193449,-0.1088606316193449
27,-0.10943500972115494,-0.10943500972115494,-0.10943500972115494,-0.10943500972115494
28,-0.11000866442036283,-0.11000866442036283,-0.11000866442036283,-0.11000866442036283
29,-0.1105815704362525,-0.1105815704362525,-0.1105815704362525,-0.1105815704362525
30,-0.11115370253478529,-0.11115370253478529,-0.11115370253478529,-0.11115370253478529
31,-0.11172503553018132,-0.11172503553018132,-0.11172503553018132,-0.11172503553018132
32,-0.11229554428650068,-0.11229554428650068,-0.11229554428650068,-0.11229554428650068
33,-0.1128652037192176,-0.1128652037192176,-0.1128652037192176,-0.1128652037192176
34,-0.1134339887967939,-0.1134339887967939,-0.1134339887967939,-0.1134339887967939
35,-0.11400187454224675,-0.11400187454224675,-0.11400187454224675,-0.11400187454224675
36,-0.11456883603471446,-0.11456883603471446,-0.11456883603471446,-0.11456883603471446
37,-0.11513484841101651,-0.11513484841101651,-0.11513484841101651,-0.11513484841101651
38,-0.115699886867212,-0.115699886867212,-0.115699886867212,-0.115699886867212
39,-0.11626392666015062,-0.11626392666015062,-0.11626392666015062,-0.11626392666015062
40,-0.11682694310902386,-0.11682694310902386,-0.11682694310902386,-0.11682694310902386
41,-0.11738891159690679,-0.11738891159690679,-0.11738891159690679,-0.11738891159690679
42,-0.11794980757230078,-0.11794980757230078,-0.11794980757230078,-0.11794980757230078
43,-0.11850960655066645,-0.11850960655066645,-0.11850960655066645,-0.11850960655066645
44,-0.11906828411595627,-0.11906828411595627,-0.11906828411595627,-0.11906828411595627
45,-0.11962581592214105,-0.11962581592214105,-0.11962581592214105,-0.11962581592214105
46,-0.12018217769473005,-0.12018217769473005,-0.12018217769473005,-0.12018217769473005
47,-0.12073734523228741,-0.12073734523228741,-0.12073734523228741,-0.12073734523228741
48,-0.12129129440794506,-0.12129129440794506,-0.12129129440794506,-0.12129129440794506
49,-0.12184400117090777,-0.12184400117090777,-0.12184400117090777,-0.12184400117090777
50,-0.12239544154795434,-0.12239544154795434,-0.12239544154795434,-0.12239544154795434
51,-0.12294559164493346,-0.12294559164493346,-0.12294559164493346,-0.12294559164493346
52,-0.12349442764825447,-0.12349442764825447,-0.12349442764825447,-0.12349442764825447
53,-0.12404192582637075,-0.12404192582637075,-0.12404192582637075,-0.12404192582637075
54,-0.12458806253126042,-0.12458806253126042,-0.12458806253126042,-0.12458806253126042
55,-0.12513281419989852,-0.12513281419989852,-0.12513281419989852,-0.12513281419989852
56,-0.1256761573557248,-0.1256761573557248,-0.1256761573557248,-0.1256761573557248
57,-0.1262180686101051,-0.1262180686101051,-0.1262180686101051,-0.1262180686101051
58,-0.12675852466378756,-0.12675852466378756,-0.12675852466378756,-0.12675852466378756
59,-0.1272975023083509,-0.1272975023083509,-0.1272975023083509,-0.1272975023083509
60,-0.10643313758755801,-0.1014817100161568,-0.11457037784643309,-0.10759755532954407
61,-0.1283709299992437,-0.1283709299992437,-0.1283709299992437,-0.1283709299992437
62,-0.1289053340958427,-0.1289053340958427,-0.1289053340958427,-0.1289053340958427
63,-0.1294381678867148,-0.1294381678867148,-0.1294381678867148,-0.1294381678867148
64,-0.12996940863911344,-0.12996940863911344,-0.12996940863911344,-0.12996940863911344
65,-0.13049903371968297,-0.13049903371968297,-0.13049903371968297,-0.13049903371968297
66,-0.1310270205958648,-0.1310270205958648,-0.1310270205958648,-0.1310270205958648
67,-0.13155334683729225,-0.13155334683729225,-0.13155334683729225,-0.13155334683729225
68,-0.13207799011718246,-0.13207799011718246,-0.13207799011718246,-0.13207799011718246
69,-0.13260092821371605,-0.13260092821371605,-0.13260092821371605,-0.13260092821371605
70,-0.1331221390114149,-0.1331221390114149,-0.1331221390114149,-0.1331221390114149
71,-0.13364160050250806,-0.13364160050250806,-0.13364160050250806,-0.13364160050250806
72,-0.1341592907882948,-0.1341592907882948,-0.1341592907882948,-0.1341592907882948
73,-0.13467518808049506,-0.13467518808049506,-0.13467518808049506,-0.13467518808049506
74,-0.135189270702597,-0.135189270702597,-0.135189270702597,-0.135189270702597
75,-0.13570151709119427,-0.13570151709119427,-0.13570151709119427,-0.13570151709119427
76,-0.13621190579731568,-0.13621190579731568,-0.13621190579731568,-0.13621190579731568
77,-0.13672041548774772,-0.13672041548774772,-0.13672041548774772,-0.13672041548774772
78,-0.13722702494634953,-0.13722702494634953,-0.13722702494634953,-0.13722702494634953
79,-0.13773171307535803,-0.13773171307535803,-0.13773171307535803,-0.13773171307535803
80,-0.13823445889668717,-0.13823445889668717,-0.13823445889668717,-0.13823445889668717
81,-0.13873524155321726,-0.13873524155321726,-0.13873524155321726,-0.13873524155321726
82,-0.13923404031007602,-0.13923404031007602,-0.13923404031007602,-0.13923404031007602
83,-0.13973083455591384,-0.13973083455591384,-0.13973083455591384,-0.13973083455591384
84,-0.1402256038041666,-0.1402256038041666,-0.1402256038041666,-0.1402256038041666
85,-0.14071832769431303,-0.14071832769431303,-0.14071832769431303,-0.14071832769431303
86,-0.1412089859931216,-0.1412089859931216,-0.1412089859931216,-0.1412089859931216
87,-0.14169755859588962,-0.14169755859588962,-0.14169755859588962,-0.14169755859588962
88,-0.14218402552767417,-0.14218402552767417,-0.14218402552767417,-0.14218402552767417
89,-0.14266836694451157,-0.14266836694451157,-0.14266836694451157,-0.14266836694451157
90,-0.14315056313463193,-0.14315056313463193,-0.14315056313463193,-0.14315056313463193
91,-0.14363059451965932,-0.14363059451965932,-0.14363059451965932,-0.14363059451965932
92,-0.14410844165580872,-0.14410844165580872,-0.14410844165580872,-0.14410844165580872
93,-0.14458408523506838,-0.14458408523506838,-0.14458408523506838,-0.14458408523506838
94,-0.14505750608637724,-0.14505750608637724,-0.14505750608637724,-0.14505750608637724
95,-0.14552868517678974,-0.14552868517678974,-0.14552868517678974,-0.14552868517678974
96,-0.1459976036126326,-0.1459976036126326,-0.1459976036126326,-0.1459976036126326
97,-0.14646424264065272,-0.14646424264065272,-0.14646424264065272,-0.14646424264065272
98,-0.14692858364915362,-0.14692858364915362,-0.14692858364915362,-0.14692858364915362
99,-0.14739060816912408,-0.14739060816912408,-0.14739060816912408,-0.14739060816912408
100,-0.1478502978753553,-0.1478502978753553,-0.1478502978753553,-0.1478502978753553
101,-0.14830763458755059,-0.14830763458755059,-0.14830763458755059,-0.14830763458755059
102,-0.14876260027142096,-0.14876260027142096,-0.14876260027142096,-0.14876260027142096
103,-0.1492151770397765,-0.1492151770397765,-0.1492151770397765,-0.1492151770397765
104,-0.14966534715360214,-0.14966534715360214,-0.14966534715360214,-0.14966534715360214
105,-0.15011309302312636,-0.15011309302312636,-0.15011309302312636,-0.15011309302312636
106,-0.1505583972088801,-0.1505583972088801,-0.1505583972088801,-0.1505583972088801
107,-0.15100124242274293,-0.15100124242274293,-0.15100124242274293,-0.15100124242274293
108,-0.15144161152898084,-0.15144161152898084,-0.15144161152898084,-0.15144161152898084
109,-0.15187948754527247,-0.15187948754527247,-0.15187948754527247,-0.15187948754527247
110,-0.15231485364372632,-0.15231485364372632,-0.15231485364372632,-0.15231485364372632
111,-0.1527476931518853,-0.1527476931518853,-0.1527476931518853,-0.1527476931518853
112,-0.15317798955372286,-0.15317798955372286,-0.15317798955372286,-0.15317798955372286
113,-0.15360572649062687,-0.15360572649062687,-0.15360572649062687,-0.15360572649062687
114,-0.1540308877623724,-0.1540308877623724,-0.1540308877623724,-0.1540308877623724
115,-0.15445345732808635,-0.15445345732808635,-0.15445345732808635,-0.15445345732808635
116,-0.15487341930719734,-0.15487341930719734,-0.15487341930719734,-0.15487341930719734
117,-0.15529075798037806,-0.15529075798037806,-0.15529075798037806,-0.15529075798037806
118,-0.1557054577904743,-0.1557054577904743,-0.1557054577904743,-0.1557054577904743
119,-0.1561175033434239,-0.1561175033434239,-0.1561175033434239,-0.1561175033434239
120,-0.14043357287523905,-0.1653480498548754,-0.11827919133156939,-0.19765556511671456
121,-0.15693357092253135,-0.15693357092253135,-0.15693357092253135,-0.15693357092253135
122,-0.1573375629841386,-0.1573375629841386,-0.1573375629841386,-0.1573375629841386
123,-0.157738840861257,-0.157738840861257,-0.157738840861257,-0.157738840861257
124,-0.15813738998867544,-0.15813738998867544,-0.15813738998867544,-0.15813738998867544
125,-0.1585331959695504,-0.1585331959695504,-0.1585331959695504,-0.1585331959695504
126,-0.15892624457624704,-0.15892624457624704,-0.15892624457624704,-0.15892624457624704
127,-0.15931652175116706,-0.15931652175116706,-0.15931652175116706,-0.15931652175116706
128,-0.1597040136075628,-0.1597040136075628,-0.1597040136075628,-0.1597040136075628
129,-0.16008870643034612,-0.16008870643034612,-0.16008870643034612,-0.16008870643034612
130,-0.16047058667687653,-0.16047058667687653,-0.16047058667687653,-0.16047058667687653
131,-0.16084964097774612,-0.16084964097774612,-0.16084964097774612,-0.16084964097774612
132,-0.16122585613754636,-0.16122585613754636,-0.16122585613754636,-0.16122585613754636
133,-0.16159921913562791,-0.16159921913562791,-0.16159921913562791,-0.16159921913562791
134,-0.16196971712684338,-0.16196971712684338,-0.16196971712684338,-0.16196971712684338
135,-0.16233733744228274,-0.16233733744228274,-0.16233733744228274,-0.16233733744228274
136,-0.16270206758999406,-0.16270206758999406,-0.16270206758999406,-0.16270206758999406
137,-0.1630638952556942,-0.1630638952556942,-0.1630638952556942,-0.1630638952556942
138,-0.16342280830346323,-0.16342280830346323,-0.16342280830346323,-0.16342280830346323
139,-0.1637787947764332,-0.1637787947764332,-0.1637787947764332,-0.1637787947764332
140,-0.1641318428974583,-0.1641318428974583,-0.1641318428974583,-0.1641318428974583
141,-0.16203493817723547,-0.16203493817723547,-0.16203493817723547,-0.16203493817723547
142,-0.15993507209257551,-0.15993507209257551,-0.15993507209257551,-0.15993507209257551
143,-0.1578322334094162,-0.1578322334094162,-0.1578322334094162,-0.1578322334094162
144,-0.15572641107598761,-0.15572641107598761,-0.15572641107598761,-0.15572641107598761
145,-0.15361759422342125,-0.15361759422342125,-0.15361759422342125,-0.15361759422342125
146,-0.1515057721663512,-0.1515057721663512,-0.1515057721663512,-0.1515057721663512
147,-0.1493909344034986,-0.1493909344034986,-0.1493909344034986,-0.1493909344034986
148,-0.14727307061824557,-0.14727307061824557,-0.14727307061824557,-0.14727307061824557
149,-0.14515217067919695,-0.14515217067919695,-0.14515217067919695,-0.14515217067919695
150,-0.14302822464072762,-0.14302822464072762,-0.14302822464072762,-0.14302822464072762
151,-0.14090122274351924,-0.14090122274351924,-0.14090122274351924,-0.14090122274351924
152,-0.13877115541508234,-0.13877115541508234,-0.13877115541508234,-0.13877115541508234
153,-0.1366380132702678,-0.1366380132702678,-0.1366380132702678,-0.1366380132702678
154,-0.1345017871117632,-0.1345017871117632,-0.1345017871117632,-0.1345017871117632
155,-0.13236246793057838,-0.13236246793057838,-0.13236246793057838,-0.13236246793057838
156,-0.13022004690651678,-0.13022004690651678,-0.13022004690651678,-0.13022004690651678
157,-0.12807451540863501,-0.12807451540863501,-0.12807451540863501,-0.12807451540863501
158,-0.12592586499568836,-0.12592586499568836,-0.12592586499568836,-0.12592586499568836
159,-0.12377408741656504,-0.12377408741656504,-0.12377408741656504,-0.12377408741656504
160,-0.12051432522228889,-0.12051432522228889,-0.12051432522228889,-0.12051432522228889
161,-0.1155205277535678,-0.1155205277535678,-0.1155205277535678,-0.1155205277535678
162,-0.1105235795102657,-0.1105235795102657,-0.1105235795102657,-0.1105235795102657
163,-0.10552347300587306,-0.10552347300587306,-0.10552347300587306,-0.10552347300587306
164,-0.10052020094598457,-0.10052020094598457,-0.10052020094598457,-0.10052020094598457
165,-0.09551375622865232,-0.09551375622865232,-0.09551375622865232,-0.09551375622865232
166,-0.0905041319447315,-0.0905041319447315,-0.0905041319447315,-0.0905041319447315
167,-0.08549132137820559,-0.08549132137820559,-0.08549132137820559,-0.08549132137820559
168,-0.08047531800650487,-0.08047531800650487,-0.08047531800650487,-0.08047531800650487
169,-0.07622622870503037,-0.07622622870503037,-0.07622622870503037,-0.07622622870503037
170,-0.07205008751872455,-0.07205008751872455,-0.07205008751872455,-0.07205008751872455
171,-0.06787073512316966,-0.06787073512316966,-0.06787073512316966,-0.06787073512316966
172,-0.06368816577247327,-0.06368816577247327,-0.06368816577247327,-0.06368816577247327
173,-0.05950237391557034,-0.05950237391557034,-0.05950237391557034,-0.05950237391557034
174,-0.055313354196459885,-0.055313354196459885,-0.055313354196459885,-0.055313354196459885
175,-0.05112110145442761,-0.05112110145442761,-0.05112110145442761,-0.05112110145442761
176,-0.047765654610407826,-0.047765654610407826,-0.047765654610407826,-0.047765654610407826
177,-0.044446651920959646,-0.044446651920959646,-0.044446651920959646,-0.044446651920959646
178,-0.04112440190020328,-0.04112440190020328,-0.04112440190020328,-0.04112440190020328
179,-0.037798900170539884,-0.037798900170539884,-0.037798900170539884,-0.037798900170539884
180,-0.0026969865730961384,-0.05813186259634273,-0.04345144042243421,-0.006070003948851266
181,-0.03113812505526503,-0.03113812505526503,-0.03113812505526503,-0.03113812505526503
182,-0.02858898905250018,-0.02858898905250018,-0.02858898905250018,-0.02858898905250018
183,-0.026324228076979872,-0.026324228076979872,-0.026324228076979872,-0.026324228076979872
184,-0.024056196450295664,-0.024056196450295664,-0.024056196450295664,-0.024056196450295664
185,-0.021784890973961635,-0.021784890973961635,-0.021784890973961635,-0.021784890973961635
186,-0.01951030864635661,-0.01951030864635661,-0.01951030864635661,-0.01951030864635661
187,-0.017232446662787892,-0.017232446662787892,-0.017232446662787892,-0.017232446662787892
188,-0.01591783448441808,-0.01591783448441808,-0.01591783448441808,-0.01591783448441808
189,-0.014650141123547122,-0.014650141123547122,-0.014650141123547122,-0.014650141123547122
190,-0.013379160874641194,-0.013379160874641194,-0.013379160874641194,-0.013379160874641194
191,-0.012104891721089861,-0.012104891721089861,-0.012104891721089861,-0.012104891721089861
192,-0.010827331843327848,-0.010827331843327848,-0.010827331843327848,-0.010827331843327848
193,-0.009956117810157261,-0.009956117810157261,-0.009956117810157261,-0.009956117810157261
194,-0.009554985482551848,-0.009554985482551848,-0.009554985482551848,-0.009554985482551848
195,-0.009150558154077393,-0.009150558154077393,-0.009150558154077393,-0.009150558154077393
196,-0.008742834793048937,-0.008742834793048937,-0.008742834793048937,-0.008742834793048937
197,-0.00833181456460852,-0.00833181456460852,-0.00833181456460852,-0.00833181456460852
198,-0.00805459614963755,-0.00805459614963755,-0.00805459614963755,-0.00805459614963755
199,-0.008374112416943968,-0.008374112416943968,-0.008374112416943968,-0.008374112416943968
200,-0.008690330492333365,-0.008690330492333365,-0.008690330492333365,-0.008690330492333365
201,-0.009003250327292212,-0.009003250327292212,-0.009003250327292212,-0.009003250327292212
202,-0.00931287206958431,-0.00931287206958431,-0.00931287206958431,-0.00931287206958431
203,-0.009656451855692971,-0.009656451855692971,-0.009656451855692971,-0.009656451855692971
204,-0.010566923923694183,-0.010566923923694183,-0.010566923923694183,-0.010566923923694183
205,-0.01147409951841527,-0.01147409951841527,-0.01147409951841527,-0.01147409951841527
206,-0.012377979571095876,-0.012377979571095876,-0.012377979571095876,-0.012377979571095876
207,-0.013278565208369564,-0.013278565208369564,-0.013278565208369564,-0.013278565208369564
208,-0.014201979683027943,-0.014201979683027943,-0.014201979683027943,-0.014201979683027943
209,-0.015602191845581315,-0.015602191845581315,-0.015602191845581315,-0.015602191845581315
210,-0.016999114142765448,-0.016999114142765448,-0.016999114142765448,-0.016999114142765448
211,-0.01839274848049599,-0.01839274848049599,-0.01839274848049599,-0.01839274848049599
212,-0.01978309695887015,-0.01978309695887015,-0.01978309695887015,-0.01978309695887015
213,-0.021226646557278683,-0.021226646557278683,-0.021226646557278683,-0.021226646557278683
214,-0.023048419217456928,-0.023048419217456928,-0.023048419217456928,-0.023048419217456928
215,-0.02486691348076886,-0.02486691348076886,-0.02486691348076886,-0.02486691348076886
216,-0.026682132221083843,-0.026682132221083843,-0.026682132221083843,-0.026682132221083843
217,-0.02849407850491037,-0.02849407850491037,-0.02849407850491037,-0.02849407850491037
218,-0.03041269770201982,-0.03041269770201982,-0.03041269770201982,-0.03041269770201982
219,-0.03262183080982828,-0.03262183080982828,-0.03262183080982828,-0.03262183080982828
220,-0.03482770181297312,-0.03482770181297312,-0.03482770181297312,-0.03482770181297312
221,-0.03703031454491856,-0.03703031454491856,-0.03703031454491856,-0.03703031454491856
222,-0.03922967302990055,-0.03922967302990055,-0.03922967302990055,-0.03922967302990055
223,-0.04161313186736537,-0.04161313186736537,-0.04161313186736537,-0.04161313186736537
224,-0.04420883859779212,-0.04420883859779212,-0.04420883859779212,-0.04420883859779212
225,-0.04680130429442153,-0.04680130429442153,-0.04680130429442153,-0.04680130429442153
226,-0.049390533740334974,-0.049390533740334974,-0.049390533740334974,-0.049390533740334974
227,-0.05197653190719831,-0.05197653190719831,-0.05197653190719831,-0.05197653190719831
228,-0.05486059795780529,-0.05486059795780529,-0.05486059795780529,-0.05486059795780529
229,-0.057874520380383765,-0.057874520380383765,-0.057874520380383765,-0.057874520380383765
230,-0.06088522756559944,-0.06088522756559944,-0.06088522756559944,-0.06088522756559944
231,-0.06389272523457357,-0.06389272523457357,-0.06389272523457357,-0.06389272523457357
232,-0.06689701929450653,-0.06689701929450653,-0.06689701929450653,-0.06689701929450653
233,-0.07036891673356194,-0.07036891673356194,-0.07036891673356194,-0.07036891673356194
234,-0.07386424995641216,-0.07386424995641216,-0.07386424995641216,-0.07386424995641216
235,-0.07735639840284725,-0.07735639840284725,-0.07735639840284725,-0.07735639840284725
236,-0.08084536871887238,-0.08084536871887238,-0.08084536871887238,-0.08084536871887238
237,-0.08445734710149455,-0.08445734710149455,-0.08445734710149455,-0.08445734710149455
238,-0.08853140719840291,-0.08853140719840291,-0.08853140719840291,-0.08853140719840291
239,-0.09260231020006215,-0.09260231020006215,-0.09260231020006215,-0.09260231020006215
240,-0.08429153331005157,-0.12262317847440074,-0.09819349632427254,-0.10444061624438783
241,-0.10073467459998708,-0.10073467459998708,-0.10073467459998708,-0.10073467459998708
242,-0.10514323269689618,-0.10514323269689618,-0.10514323269689618,-0.10514323269689618
243,-0.10991756887750981,-0.10991756887750981,-0.10991756887750981,-0.10991756887750981
244,-0.11468878664111604,-0.11468878664111604,-0.11468878664111604,-0.11468878664111604
245,-0.11945689426040651,-0.11945689426040651,-0.11945689426040651,-0.11945689426040651
246,-0.12422190018548962,-0.12422190018548962,-0.12422190018548962,-0.12422190018548962
247,-0.12963804033923632,-0.12963804033923632,-0.12963804033923632,-0.12963804033923632
248,-0.13526750000864352,-0.13526750000864352,-0.13526750000864352,-0.13526750000864352
249,-0.14089388439149775,-0.14089388439149775,-0.14089388439149775,-0.14089388439149775
